県北地方　環境放射能測定結果（暫定値）,,,,（平成23年3月17日～31日）,,,,,,,,モニタリング２－１(県北),,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,単位：μGy/h≒μSv/ｈ（ﾏｲｸﾛｸﾞﾚｲ/時間≒ﾏｲｸﾛｼｰﾍﾞﾙﾄ/時間）,,
,,"国見町
役場","福島北警察署桑折分庁舎
(桑折町)","伊達
市役所","農業総合センター
果樹研究所
(福島市)","福島
市役所","福島西
IC","ふくしま自治研修センター
(福島市)","川俣町
役場","二本松
市役所","二本松市
東和支所","川俣町
山木屋
郵便局","大玉村
役場","本宮
市役所",,
福島第一原発からの方向及び距離,,"北西
約６６Km","北西
約６６Km","北西
約６０Km","北西
約６８Km","北西
約６２Km","西北西
約６４Km","西北西
約６７Km","北西
約４７Km","西北西
約５６Km","西北西
約４４Km","西北西
約３８Km","西北西
約６０Km","西
約５７Km",,
3月17日(木),1回目,,,,"7.30
(19時13分)","8.96
(17時52分)","8.16
(18時13分)","2.93
(18時30分)","4.93
(17時17分)","13.00
(17時10分)",,,"5.16
(17時30分)","10.00
(17時40分)",,
,2回目,,,"7.35
(22時20分)",,"9.64
(20時30分)","9.85
(20時47分)","2.95
(21時03分)","5.44
(20時00分)","13.60
(21時15分)",,,"5.15
(20時59分)","10.10
(20時43分)",,
3月18日(金),1回目,"4.91
(11時53分)","6.54
(11時42分)","7.55
(12時30分)","6.67
(10時52分)","12.34
(10時03分)","5.27
(10時24分)","2.60
(10時36分)","4.76
(13時19分)","9.66
(11時32分)","4.93
(13時59分)","14.97
(13時42分)","4.78
(11時49分)","6.67
(11時58分)",,
,2回目,"4.65
(15時40分)","6.83
(15時30分)","7.98
(16時10分)","6.38
(15時03分)","10.40
(15時16分)","4.56
(15時00分)","2.07
(14時45分)","4.80
(16時58分)","10.32
(14時05分)","4.83
(17時47分)","15.12
(17時27分)","4.82
(13時46分)","7.92
(13時36分)",,
3月19日(土),1回目,"4.44
(10時32分)","6.92
(10時10分)","6.56
(11時11分)","5.38
(9時45分)","9.30
(9時25分)","4.78
(9時55分)","2.00
(10時10分)","4.13
(11時50分)","9.46
(11時00分)","4.26
(12時54分)","12.8
(12時32分)","5.48
(11時20分)","7.41
(11時30分)",,
,2回目,"3.71
(14時48分)","6.69
(14時35分)","6.32
(15時15分)","5.41
(14時12分)","9.37
(15時05分)","5.89
(14時50分)","2.54
(14時30分)","3.83
(15時51分)","9.27
(12時45分)","4.27
(16時32分)","12.2
(16時14分)","4.98
(13時25分)","7.46
(13時15分)",,
3月20日(日),1回目,"3.56
(10時02分)","6.33
(9時48分)","5.69
(10時35分)","4.80
(9時26分)","7.26
(9時26分)","3.94
(9時46分)","1.59
(10時00分)","3.89
(11時16分)","7.83
(10時45分)","3.60
(11時55分)","12.2
(11時38分)","3.30
(11時04分)","5.92
(11時15分)",,
,2回目,"3.47
(13時45分)","6.25
(13時35分)","5.40
(14時09分)","4.94
(13時11分)","8.31
(15時00分)","4.69
(14時12分)","1.40
(14時26分)","3.97
(14時45分)","7.36
(13時32分)","3.89
(15時25分)","13.8
(15時08分)","3.20
(13時19分)","6.17
(13時09分)",,
3月21日(月),1回目,"3.18
（11時16分）","6.33
(11時02分）","5.31
（11時37分）","4.19
（10時30分）","7.30
（9時17分）","2.93
（9時42分）","1.60
（10時00分）","3.51
（9時43分）","6.90
（11時02分）","3.06
（10時30分）","8.32
（10時12分）","3.87
（11時25分）","4.83
（11時35分）",,
,2回目,"2.84
（15時03分）","5.27
（14時53分）","4.48
（15時24分）","4.12
（14時25分）","7.27
（13時13分）","2.94
（13時34分）","1.63
（13時49分）","3.95
（13時51分）","6.38
（13時16分）","2.85
（14時26分）","8.83
（14時10分）","3.42
（15時12分）","4.43
（15時04分）",,
3月22日(火),1回目,"2.41
（10時44分）","3.79
（10時32分）","4.54
（11時05分）","3.35
（10時08分）","6.32
（11時38分）","2.77
（9時18分）","1.32
（9時32分）","3.18
（9時46分）","5.73
（9時10分）","2.62
（10時24分）","8.43
（10時08分）","3.31
（11時14分）","3.28
（11時03分）",,
,2回目,"2.32
（14時51分）","3.98
（14時41分）","4.41
（15時13分）","3.49
（14時14分）","5.75
（15時44分）","2.78
（13時32分）","1.54
（13時46分）","3.09
（14時06分）","5.42
（13時35分）","2.57
（14時43分）","7.48
（14時27分）","3.57
（15時32分）","3.72
（15時23分）",,
3月23日(水),1回目,"2.20
（10時40分）","3.46
（10時30分）","3.73
（11時05分）","2.85
（10時05分）","4.82
（11時40分）","2.33
（9時15分）","1.34
（9時30分）","2.83
（9時56分）","5.10
（9時15分）","2.30
（10時32分）","6.57
（10時17分）","3.08
（11時25分）","3.09
（11時16分）",,
,2回目,"2.03
（14時38分）","4.09
（14時30分）","3.69
（14時58分）","2.80
（14時03分）","4.99
（15時25分）","2.44
（13時22分）","1.12
（13時35分）","2.60
（14時05分）","4.29
（13時31分）","2.33
（14時42分）","6.51
（14時25分）","3.02
（16時03分）","3.47
（15時50分）",,
3月24日(木),1回目,"1.73
(10時33分)","3.14
(10時22分)","3.65
(10時52分)","2.62
(9時57分)","4.78
(11時20分)","2.37
(9時06分)","1.34
(9時22分)","2.65
(9時41分)","4.84
(9時06分)","2.03
(9時21分)","6.48
(10時05分)","2.60
(11時12分)","3.13
(11時03分)",,
,2回目,"1.81
(14時40分)","2.76
(14時30分)","3.34
(14時58分)","2.73
(14時12分)","4.90
(15時25分)","2.64
(13時32分)","1.08
(13時45分)","2.72
(13時43分)","4.59
(14時42分)","2.08
(14時17分)","6.73
(14時02分)","2.93
(15時05分)","2.48
(14時56分)",,
3月25日（金）,1回目,"1.72
(10時35分)","2.61
(10時25分)","2.97
(10時58分)","2.22
(10時05分)","3.48
(11時35分)","2.20
(9時20分)","1.00
(9時35分)","2.28
(9時54分)","4.23
(9時20分)","1.98
(10時31分)","5.99
(10時14分)","2.65
(11時45分)","2.42
(11時35分)",,
,2回目,"1.58
(14時40分)","2.63
(14時35分)","3.21
(15時03分)","2.12
(14時10分)","3.43
(15時32分)","2.38
(13時20分)","0.89
(13時40分)","2.43
(13時44分)","4.19
(13時06分)","2.18
(14時21分)","6.25
(14時06分)","2.23
(15時21分)","2.52
(15時11分)",,
3月26日（土）,1回目,"1.53
(10時56分)","2.73
(10時42分)","3.04
(11時19分)","2.06
(10時19分)","3.37
(11時52分)","1.69
(9時29分)","0.83
(9時47分)","1.99
(9時57分)","3.76
(9時21分)","2.01
(10時38分)","5.16
(10時21分)","2.03
(11時32分)","2.84
(11時21分)",,
,2回目,"1.52
(15時00分)","2.65
(14時48分)","3.09
(15時22分)","2.00
(14時13分)","3.34
(15時53分)","1.82
(13時30分)","0.83
(13時44分)","2.21
(14時06分)","3.69
(13時26分)","1.96
(14時41分)","5.73
(14時24分)","1.86
(16時25分)","2.90
(15時45分)",,
3月27日（日）,1回目,"1.48
(10時26分)","2.20
(10時16分)","2.36
(10時50分)","1.90
(9時52分)","3.16
(11時27分)","1.37
(9時10分)","0.77
(9時24分)","2.02
(9時28分)","3.89
(8時54分)","1.88
(10時14分)","5.80
(9時50分)","1.99
(11時01分)","3.07
(10時52分)",,
,2回目,"1.43
(14時48分)","2.08
(14時37分)","2.71
(15時08分)","1.97
(14時10分)","3.45
(15時37分)","1.51
(13時27分)","0.82
(13時40分)","1.96
(13時43分)","3.85
(13時09分)","1.84
(14時26分)","5.19
(14時02分)","1.77
(15時19分)","2.98
(15時11分)",,
3月28日（月）,1回目,"1.37
(10時58分)","2.38
(10時45分)","2.09
(11時18分)","1.81
(10時23分)","3.01
(11時48分)","2.24
(9時42分)","0.80
(9時56分)","2.00
(9時36分)","3.39
(9時03分)","1.77
(10時36分)","5.32
(9時57分)","1.77
(11時25分)","2.11
(11時15分)",,
,2回目,"1.24
(15時14分)","2.07
(15時04分)","2.22
(15時34分)","1.66
(14時43分)","2.95
(16時08分)","2.12
(14時07分)","0.74
(14時19分)","1.79
(13時52分)","3.29
(13時15分)","1.59
(14時37分)","4.74
(14時15分)","1.78
(16時25分)","2.03
(16時05分)",,
3月29日（火）,1回目,"1.17
(10時42分)","2.25
(10時30分)","2.32
(11時02分)","1.65
(10時09分)","2.77
(11時33分)","2.00
(9時29分)","0.74
(9時41分)","1.70
(10時04分)","3.06
(9時26分)","1.50
(10時48分)","3.87
(10時26分)","1.53
(11時35分)","1.94
(11時25分)",,
,2回目,"1.24
(14時36分)","2.19
(14時26分)","2.28
(14時55分)","1.56
(14時06分)","2.80
(15時26分)","1.89
(13時27分)","0.69
(13時41分)","1.80
(14時01分)","2.96
(13時28分)","1.42
(14時47分)","4.07
(14時22分)","1.58
(15時39分)","2.07
(15時29分)",,
3月30日（水）,1回目,"1.21
(10時27分)","2.26
(10時17分)","2.34
(10時47分)","1.63
(9時52分)","2.80
(11時27分)","1.74
(9時14分)","0.69
(9時26分)","1.75
(9時50分)","3.07
(9時12分)","1.61
(10時38分)","4.21
(10時13分)","1.43
(11時22分)","2.08
(11時16分)",,
,2回目,"1.17
(14時36分)","2.16
(14時28分)","2.09
(14時56分)","1.51
(14時06分)","2.71
(15時31分)","1.77
(13時29分)","0.65
(13時41分)","1.75
(13時50分)","2.88
(13時15分)","1.52
(14時33分)","4.21
(14時01分)","1.45
(15時23分)","1.95
(15時14分)",,
