導杒抧曽丂娐嫬曻幩擻應掕寢壥乮巄掕抣乯,,,,乮暯惉23擭4寧1擔乣30擔乯,,,,,,,,儌僯僞儕儞僌俀亅侾(導杒),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,扨埵丗兪Gy/h佮兪Sv/倛乮喜港皋诓/帪娫佮喜港及娃倌/帪娫乯,,,,,,,,,
,,"崙尒挰
栶応","暉搰杒寈嶡彁孠愜暘挕幧
(孠愜挰)","埳払
巗栶強","擾嬈憤崌僙儞僞乕
壥庽尋媶強
(暉搰巗)","暉搰
巗栶強","暉搰惣
IC","傆偔偟傑帺帯尋廋僙儞僞乕
(暉搰巗)","愳枔挰
栶応","擇杮徏
巗栶強","擇杮徏巗
搶榓巟強","愳枔挰
嶳栘壆
梄曋嬊","戝嬍懞
栶応","杮媨
巗栶強",,,,,,,,,
暉搰戞堦尨敪偐傜偺曽岦媦傃嫍棧,,"杒惣
栺俇俇Km","杒惣
栺俇俇Km","杒惣
栺俇侽Km","杒惣
栺俇俉Km","杒惣
栺俇俀Km","惣杒惣
栺俇係Km","惣杒惣
栺俇俈Km","杒惣
栺係俈Km","惣杒惣
栺俆俇Km","惣杒惣
栺係係Km","惣杒惣
栺俁俉Km","惣杒惣
栺俇侽Km","惣
栺俆俈Km",,,,,,,,,
,1夞栚,1.21,2.02,1.41,1.39,2.31,1.32,0.66,1.56,2.93,1.57,4.37,1.58,2.09,,,,,,,,,
4寧1擔,,(11帪10暘),(10帪57暘),(11帪28暘),(10帪39暘),(11帪55暘),(10帪00暘),(10帪14暘),(9帪50暘),(9帪11暘),(10帪42暘),(10帪09暘),(11帪37暘),(11帪28暘),,,,,,,,,
(嬥),2夞栚,1.19,1.56,2.00,1.43,2.31,1.77,0.62,1.50,2.82,1.37,3.64,1.33,1.88,,,,,,,,,
,,(14帪39暘),(14帪31暘),(14帪59暘),(14帪09暘),(15帪35暘),(13帪29暘),(13帪42暘),(13帪50暘),(13帪13暘),(14帪32暘),(14帪10暘),(15帪26暘),(15帪35暘),,,,,,,,,
,1夞栚,1.04,2.13,2.09,1.50,2.25,1.42,0.68,1.52,2.84,1.39,4.19,1.49,2.07,,,,,,,,,
4寧2擔,,(10帪28暘),(10帪18暘),(10帪48暘),(9帪57暘),(11帪32暘),(9帪17暘),(9帪29暘),(9帪38暘),(9帪02暘),(10帪26暘),(9帪59暘),(11帪16暘),(11帪04暘),,,,,,,,,
(搚),2夞栚,1.03,2.33,1.99,1.49,2.25,1.29,0.66,1.60,2.92,1.44,3.94,1.42,2.15,,,,,,,,,
,,(14帪30暘),(14帪21暘),(14帪50暘),(14帪00暘),(15帪24暘),(13帪21暘),(13帪32暘),(13帪40暘),(13帪05暘),(14帪24暘),(14帪02暘),(15帪17暘),(15帪07暘),,,,,,,,,
,1夞栚,0.98,2.01,1.79,1.22,2.31,1.30,0.62,1.65,2.62,1.46,3.85,1.49,1.95,,,,,,,,,
4寧3擔,,(10帪39暘),(10帪29暘),(11帪01暘),(10帪08暘),(11帪33暘),(9帪28暘),(9帪41暘),(9帪48暘),(9帪12暘),(10帪30暘),(10帪08暘),(11帪10暘),(11帪19暘),,,,,,,,,
(擔),2夞栚,1.01,1.98,1.67,1.27,2.11,1.23,0.71,1.49,2.77,1.34,3.82,1.51,2.04,,,,,,,,,
,,(15帪00暘),(14帪50暘),(15帪27暘),(14帪25暘),(15帪54暘),(13帪32暘),(13帪49暘),(13帪45暘),(13帪09暘),(14帪25暘),(14帪04暘),(15帪11暘),(15帪20暘),,,,,,,,,
,1夞栚,0.85,1.37,1.45,1.21,1.97,1.40,0.50,1.39,2.58,1.38,3.45,1.39,1.87,,,,,,,,,
4寧4擔,,(10帪40暘),(10帪31暘),(11帪01暘),(10帪06暘),(11帪30暘),(9帪26暘),(9帪40暘),(10帪07暘),(9帪27暘),(11帪06暘),(10帪47暘),(11帪45暘),(11帪56暘),,,,,,,,,
(寧),2夞栚,0.88,1.42,1.23,1.17,2.00,1.32,0.50,1.34,2.51,1.31,3.67,1.45,1.92,,,,,,,,,
,,(14帪38暘),(14帪30暘),(14帪59暘),(14帪08暘),(15帪29暘),(13帪30暘),(13帪42暘),(13帪52暘),(13帪16暘),(14帪45暘),(14帪10暘),(15帪40暘),(15帪50暘),,,,,,,,,
,1夞栚,0.85,1.18,1.32,1.35,1.72,1.03,0.55,1.32,2.61,1.29,3.56,1.24,1.81,,,,,,,,,
4寧5擔,,(10帪26暘),(10帪16暘),(10帪52暘),(9帪51暘),(11帪24暘),(9帪11暘),(9帪25暘),(9帪35暘),(9帪00暘),(10帪20暘),(9帪55暘),(11帪15暘),(11帪00暘),,,,,,,,,
(壩),2夞栚,0.90,1.20,1.45,1.23,1.77,1.04,0.59,1.36,2.49,1.21,3.41,1.25,1.69,,,,,,,,,
,,(14帪49暘),(14帪40暘),(15帪08暘),(14帪04暘),(15帪40暘),(13帪34暘),(13帪46暘),(14帪00暘),(13帪20暘),(15帪00暘),(14帪22暘),(15帪48暘),(15帪38暘),,,,,,,,,
,1夞栚,0.78,1.18,1.38,1.41,1.56,1.11,0.59,1.26,2.47,1.23,3.19,1.33,1.65,,,,,,,,,
4寧6擔,,(10帪27暘),(10帪18暘),(10帪45暘),(9帪51暘),(11帪18暘),(9帪10暘),(9帪25暘),(9帪49暘),(9帪12暘),(10帪58暘),(10帪08暘),(11帪44暘),(11帪53暘),,,,,,,,,
(悈),2夞栚,0.88,1.16,1.57,1.51,1.53,1.07,0.55,1.29,2.40,1.29,3.48,1.34,1.76,,,,,,,,,
